Wind,,Month,hours,windspeedat100mms,mwh,ncf,,,Solar,,Month,Wh,ncf
,1,1,744,4.705,262.764,23.50%,,,,0,1,32631.67003,19.94%
,2,2,672,4.705,247.664,24.60%,,,,1,2,31464.60977,21.28%
,3,3,744,4.867,259.804,23.30%,,,,2,3,38343.01528,23.43%
,4,4,720,6.585,378.228,35.00%,,,,3,4,41304.63655,26.08%
,5,5,744,4.501,184.679,16.50%,,,,4,5,41329.59867,25.25%
,6,6,720,4.496,188.63,17.50%,,,,5,6,38467.50442,24.29%
,7,7,744,3.697,111.523,10.00%,,,,6,7,35637.61495,21.77%
,8,8,744,3.897,143.448,12.90%,,,,7,8,36685.47279,22.41%
,9,9,720,4.725,223.078,20.70%,,,,8,9,36643.06169,23.13%
,10,10,744,4.905,258.261,23.10%,,,,9,10,38215.37515,23.35%
,11,11,720,4.627,236.885,21.90%,,,,10,11,35144.20412,22.19%
,12,12,744,5.02,274.958,24.60%,,,,11,12,32264.49518,19.74%
